Att	Att_bar	Cr
7.70452692305656e-05	5.05126669652357e-05	4.42805051666834e-17
7.74225437812485e-05	5.19822941370233e-05	4.33688532234425e-17
7.77782555638299e-05	5.34107957070855e-05	4.25745273867711e-17
7.81168817617637e-05	5.47988212037147e-05	4.18791515358811e-17
7.84409161280305e-05	5.61443951961709e-05	4.12677293094619e-17
7.87518291537854e-05	5.74510965104484e-05	4.07262058680789e-17
7.90520078221665e-05	5.87232695125699e-05	4.02443015583599e-17
7.93429028843358e-05	5.99627117838353e-05	3.98147719497469e-17
7.96250416763767e-05	6.11663756148108e-05	3.94299782865356e-17
7.99000236952554e-05	6.23389129449195e-05	3.90843851913593e-17
8.01690411172375e-05	6.34837721551122e-05	3.87736380380939e-17
8.04326373163144e-05	6.46007636697889e-05	3.84927441233774e-17
8.06911421256308e-05	6.56894881136154e-05	3.82387497854948e-17
8.09457854959804e-05	6.67552327983323e-05	3.80082606351096e-17
8.11967489152966e-05	6.77974133794931e-05	3.77987137994535e-17
8.14441651627233e-05	6.88147502854936e-05	3.76058932836837e-17
8.16881090543166e-05	6.98064398038361e-05	3.74274700277279e-17
8.19294270478434e-05	7.0776879790908e-05	3.72612563486936e-17
8.21684591566593e-05	7.1725996827039e-05	3.71052030185483e-17
8.24068367579256e-05	7.26491163235896e-05	3.69572010410499e-17
8.26429152501675e-05	7.35511809420411e-05	3.68156649525967e-17
8.28769140830721e-05	7.44332450482404e-05	3.66787386302165e-17
8.31112623884518e-05	7.52929245534797e-05	3.65441465826074e-17
8.33436794956643e-05	7.61332635019086e-05	3.6410849699945e-17
8.35740134360407e-05	7.695341946147e-05	3.62768480744525e-17
8.38022852250974e-05	7.7753759339113e-05	3.61404995611934e-17
8.40286577233894e-05	7.85358848937561e-05	3.60020201369898e-17
8.42532944130738e-05	7.93014700887135e-05	3.58624284275438e-17
8.4475702852572e-05	8.00472129470289e-05	3.57236430432628e-17
8.46964057817953e-05	8.07768659834589e-05	3.55908785905809e-17
8.49156219796045e-05	8.14915138779934e-05	3.54691007660593e-17
8.51334547640351e-05	8.21911036211778e-05	3.53597695130231e-17
8.53501429385037e-05	8.28771644883197e-05	3.52590434323374e-17
8.5565169383665e-05	8.35469063452281e-05	3.51563640442417e-17
8.57778600402064e-05	8.41978018424606e-05	3.50389754269539e-17
8.59875323116822e-05	8.48279219354539e-05	3.48970260036851e-17
8.61936899946583e-05	8.54365338215817e-05	3.47258103754467e-17
8.6397010410901e-05	8.60236557279234e-05	3.45247271885024e-17
8.65979412388399e-05	8.6590198832117e-05	3.42964221249661e-17
8.67951308155357e-05	8.71381299197969e-05	3.40451164185254e-17
8.69893940812472e-05	8.76684843071475e-05	3.37740833844571e-17
8.71824261137201e-05	8.81823453017867e-05	3.34878372111715e-17
8.73722286786519e-05	8.86816423050099e-05	3.31900091305464e-17
8.75591131186155e-05	8.91677422373658e-05	3.28850756718349e-17
8.77432282943613e-05	8.96414030879811e-05	3.25750556653451e-17
8.79248440381568e-05	9.01035449146272e-05	3.22631494106855e-17
8.81040874302051e-05	9.05546190934733e-05	3.19506587322658e-17
